rep,guard,recall,fpr
416,v3,1.0,0.0
417,v2,0.8532969176746,0.0
417,v3,1.0,0.0
418,v2,0.8529980657640233,0.0
418,v3,1.0,0.0
419,v2,0.8465690053970701,0.0
419,v3,1.0,0.0
420,v2,0.8516377649325626,0.0
420,v3,1.0,0.0
421,v2,0.853125,0.0
421,v3,1.0,0.0
422,v2,0.8544031311154598,0.0
422,v3,1.0,0.0
423,v2,0.845703125,0.0
423,v3,1.0,0.0
424,v2,0.8547750591949487,0.0
424,v3,1.0,0.0
425,v2,0.8549202644885259,0.0
425,v3,1.0,0.0
426,v2,0.8517065515888583,0.0
426,v3,1.0,0.0
427,v2,0.8528505392912172,0.0
427,v3,1.0,0.0
428,v2,0.8525469168900804,0.0
428,v3,1.0,0.0
429,v2,0.8587681443703413,0.0
429,v3,1.0,0.0
430,v2,0.8556420233463035,0.0
430,v3,1.0,0.0
431,v2,0.8619883040935673,0.0
431,v3,1.0,0.0
432,v2,0.8547008547008547,0.0
432,v3,1.0,0.0
433,v2,0.8558951965065502,0.0
433,v3,1.0,0.0
434,v2,0.8600078647267008,0.0
434,v3,1.0,0.0
435,v2,0.8580392156862745,0.0
435,v3,1.0,0.0
436,v2,0.8620554904259476,0.0
436,v3,1.0,0.0
437,v2,0.8532182103610675,0.0
437,v3,1.0,0.0
438,v2,0.8537534033450019,0.0
438,v3,1.0,0.0
439,v2,0.854199066874028,0.0
439,v3,1.0,0.0
440,v2,0.8553042121684867,0.0
440,v3,1.0,0.0
441,v2,0.8556981719175418,0.0
441,v3,1.0,0.0
442,v2,0.8486715440893339,0.0
442,v3,1.0,0.0
443,v2,0.8487918939984411,0.0
443,v3,1.0,0.0
444,v2,0.8555900621118012,0.0
444,v3,1.0,0.0
445,v2,0.8553191489361702,0.0
445,v3,1.0,0.0
446,v2,0.8604923798358733,0.0
446,v3,1.0,0.0
447,v2,0.8524526844341445,0.0
447,v3,1.0,0.0
448,v2,0.856646058732612,0.0
448,v3,1.0,0.0
449,v2,0.8513725490196078,0.0
449,v3,1.0,0.0
